标题,价格,样式,楼层,朝向,面积,小区,地址
新家坡美树馆，看房方便，3室2厅，人气房源,16000元/月,3室 2厅,高区/37层,暂无数据,徐汇 建国西路,新家坡美树馆,陕西南路888弄
幸福第一公寓，钥匙房，近地铁，有爱有家,5500元/月,2室 1厅,高区/6层,朝南,闸北 永和,幸福第一公寓,场中路2600弄
精致户型，钥匙在店，附近有地铁，链家房源,4700元/月,2室 1厅,中区/6层,暂无数据,浦东 金杨,金杨七街坊,"金口路471弄,金口路411弄,枣庄路8......"
尚浦名邸，3室2厅，如您所见，附近有地铁,23000元/月,3室 2厅,高区/12层,朝南,杨浦 新江湾城,尚浦名邸,江湾城路88弄
名都新城，链家有钥匙，交通便利，实地看房,6800元/月,3室 2厅,中区/6层,暂无数据,闵行 莘庄,名都新城,"名都路20弄,友情路50弄,富都路55弄......"
康乐花园，近地铁，实地看房，两室户,6500元/月,2室 2厅,中区/6层,朝南,浦东 塘桥,康乐花园（浦东）,临沂北路255弄
盛逸公寓，实地看房，交通方便，有爱有家,9000元/月,2室 2厅,高区/16层,朝南北,浦东 塘桥,盛逸公寓,浦东南路2199弄
茅台花苑，近地铁，人气房源，高清照片,6800元/月,2室 1厅,中区/26层,暂无数据,长宁 仙霞,茅台花苑,茅台路500弄2-9号
荷三小区，2室1厅1卫，实地看房，交通方便,4300元/月,2室 1厅,中区/6层,朝南,浦东 金桥,荷三小区,"荷泽路567弄,牟平路56弄,牟平路15......"
丰镇小区，出行方便，如您所见，看房有钥匙,4600元/月,2室 1厅,中区/6层,朝南,虹口 江湾镇,丰镇小区,丰镇路2弄
地铁沿线，好房待租，温馨之家，采光棒,7000元/月,1室 1厅,高区/18层,暂无数据,长宁 天山,河风丽景,天山路88弄
新家坡美树馆，实地看房，上门实勘，光线充足,18000元/月,3室 2厅,中区/37层,朝南,徐汇 建国西路,新家坡美树馆,陕西南路888弄
五原路210弄，钥匙在链家，好房待租，出行方便,7500元/月,1室 1厅,高区/6层,暂无数据,徐汇 衡山路,五原路210弄,五原路210弄
御上海，房型正气，1室1厅1卫，人气房源,2800元/月,1室 1厅,低区/18层,朝南北,松江 松江大学城,御上海,谷阳北路2399弄
钥匙房，放心好房，改善住房，高区景观房,14000元/月,3室 2厅,高区/27层,暂无数据,黄浦 五里桥,东都公寓,丽园路888弄
菊泉新城，光线非常好，链家好房，钥匙在链家,3000元/月,2室 1厅,高区/14层,暂无数据,宝山 顾村,菊泉新城（陆翔路678弄）,陆翔路678弄
高清实拍，人气房源，看房方便，链家好房,3300元/月,1室 0厅,高区/6层,朝南,普陀 甘泉宜川,合阳小区,"延长西路150弄,延长西路220弄"
国和二村，链家房源，钥匙在链家，生活很便利,3200元/月,1室 1厅,中区/6层,朝南,杨浦 中原,国和二村,国和二村
有钥匙方便看，一链倾城，交通方便，两室户,8600元/月,2室 2厅,低区/13层,暂无数据,浦东 张江,日月光水岸花园(公寓),"青桐路409弄（一期）,青桐路408弄（......"
徐汇苑，一链倾城，上门实拍，3室2厅2卫,13000元/月,3室 2厅,高区/28层,暂无数据,徐汇 龙华,徐汇苑,天钥桥路968弄
改善住房，人气房源，上门实拍，生活很便利,13000元/月,3室 2厅,高区/33层,暂无数据,黄浦 世博滨江,弘辉名苑,西藏南路1501弄
真实在租，钥匙房，上下楼方便，上门实勘,4600元/月,2室 1厅,低区/18层,朝南,杨浦 中原,民星二村,"民星路400弄,民星路420号,民星二村"
人气房源，上门实拍，钥匙在链家，小户型,5500元/月,1室 1厅,中区/6层,暂无数据,浦东 花木,金桂小区,"牡丹路258弄1-26号,"
靖宇家园，两室户，实地看房，近地铁,7800元/月,2室 1厅,高区/17层,暂无数据,杨浦 黄兴公园,靖宇家园,靖宇东路55弄
上门实拍，人气房源，钥匙房，近地铁,3300元/月,1室 1厅,中区/6层,朝南,杨浦 中原,国和一村,国和一村
盛大金磐，钥匙在链家，实地看房，链家房源,30000元/月,3室 2厅,中区/43层,暂无数据,浦东 陆家嘴,盛大金磐,东泰路200弄
嘉利明珠城，好楼层，实地看房，2室2厅,8300元/月,2室 2厅,中区/21层,暂无数据,闸北 闸北公园,嘉利明珠城,平型关路377弄
视野很好，附近有地铁，高清照片，有钥匙方便看,2500元/月,2室 1厅,高区/6层,朝南,宝山 通河,通河八村,通河八村
溧阳路1040号，享受好房，人气房源，高清大图,4000元/月,1室 1厅,高区/6层,朝东南,虹口 四川北路,溧阳路1040号,溧阳路1040号
看房有钥匙，上门实拍，一室小户型，近地铁,4000元/月,1室 1厅,低区/6层,暂无数据,浦东 塘桥,锦南花苑,浦建路725弄
凤城四村，实地看房，一链倾城，附近有地铁,4000元/月,1室 1厅,中区/5层,朝南,杨浦 控江路,凤城四村,凤城四村
通河二村，温馨一室，视野开阔，交通便利,3000元/月,1室 1厅,高区/6层,朝南,宝山 通河,通河二村,长江西路1568号
颛溪七村，真实在租，人气房源，有钥匙房源,3500元/月,2室 1厅,高区/6层,暂无数据,闵行 颛桥,颛溪七村,颛兴路358弄
高清大图，有钥匙方便看，两室户，一链倾城,4800元/月,2室 2厅,高区/6层,暂无数据,闵行 航华,京润花园,航华二村三街坊77-108号
精致户型，实地看房，看房方便，好房待租,5100元/月,2室 1厅,高区/6层,朝南,闸北 大宁,延长小区（闸北）,"老沪太路101弄,老沪太路115号,老沪......"
龙盛佳苑，高清大图，链家有钥匙，地铁沿线,6800元/月,3室 1厅,高区/15层,朝南,闸北 阳城,龙盛佳苑,沪太路1329弄
东欣小区，简约二室，好房待租，地铁沿线,7600元/月,2室 1厅,低区/25层,暂无数据,浦东 潍坊,东欣小区,"崂山路571弄,崂山东路571弄"
一室小户型，高清照片，链家房源，地铁沿线,4500元/月,1室 1厅,中区/6层,朝东,徐汇 徐家汇,文定路87号,文定路87号
链家有钥匙，地铁沿线，实地看房，享受好房,4700元/月,2室 0厅,高区/6层,暂无数据,浦东 洋泾,崮山小区二街坊,灵山路1415弄
梅陇三村，看房有钥匙，放心好房，2室1厅1卫,4500元/月,2室 1厅,高区/6层,暂无数据,徐汇 华东理工,梅陇三村,梅陇三村
空气清新，真实在租，附近有地铁，高清实拍,2300元/月,1室 1厅,中区/6层,朝南,浦东 外高桥,学前一村,"海春路150弄,海村路150弄"
东苑怡景园，实地看房，一室小户型，光线棒,6500元/月,1室 1厅,高区/18层,暂无数据,闵行 古美,东苑怡景园,莲花路1058弄
链家房源，近地铁，南北通，实地看房,5500元/月,2室 1厅,中区/5层,朝南北,浦东 源深,梅园六街坊,商城路1177弄
梅林小区，有钥匙方便看，链家好房，交通方便,3300元/月,1室 1厅,低区/6层,暂无数据,杨浦 中原,梅林小区,"翔殷路300弄2-36号,翔殷路280弄......"
九歌上郡，链家有钥匙，人气房源，交通方便,9500元/月,2室 2厅,低区/12层,朝南,闵行 静安新城,九歌上郡,宜山路2328弄
一链倾城，高区阳光房，1室1厅，人气房源,3300元/月,1室 1厅,高区/6层,朝东南,徐汇 康健,寿德坊,桂林西街400弄
低楼层，如您所见，高清大图，钥匙在链家,5500元/月,2室 1厅,低区/6层,朝南,普陀 甘泉宜川,泰山二村,泰山支路60号
茶陵路345弄，生活很便利，光线棒，人气房源,4500元/月,1室 1厅,高区/7层,暂无数据,徐汇 斜土路,茶陵路345弄,茶陵路345弄
简约二室，看房有钥匙，人气房源，交通便利,5200元/月,2室 1厅,低区/7层,暂无数据,浦东 金杨,金杨二街坊,"金口路44弄,金杨路273弄,云山路10......"
四和花园，一链倾城，高清实拍，交通方便,7000元/月,2室 1厅,低区/6层,暂无数据,静安 曹家渡,四和花园,"新闸路1910弄,新闸路1940弄"
潼港八村，低区出入方便，钥匙在店，2室1厅,4000元/月,2室 1厅,低区/6层,暂无数据,浦东 外高桥,潼港八村,"潼港八村,"
商业一村，上门实勘，钥匙在店，人气房源,3500元/月,1室 0厅,低区/6层,暂无数据,虹口 鲁迅公园,商业一村,"商业一村,广中路194弄"
链家有钥匙，高区景观好，好房待租，高清大图,4500元/月,2室 1厅,高区/6层,朝南,闵行 莘庄,星丰苑,黎明路155弄
海滨二村，上下楼方便，温馨一室，地铁沿线,2500元/月,1室 1厅,低区/6层,朝南,宝山 淞宝,海滨二村（宝山）,海滨二村
温馨一室，近地铁，视野很好，人气房源,3500元/月,1室 1厅,高区/24层,朝南,浦东 金桥,画家村,浦东大道2970弄
好房好心情，看房有钥匙，生活很便利，实地看房,4200元/月,2室 1厅,低区/18层,朝南北,宝山 共康,新梅绿岛苑,场北路399弄
金地未未来，地铁沿线，一链倾城，人气房源,9500元/月,3室 2厅,中区/5层,暂无数据,浦东 金桥,金地未未来,张杨北路2899弄
高清实拍，2室1厅1卫，近地铁，看房方便,4900元/月,2室 1厅,中区/6层,朝西南,闸北 大宁,宁和小区,"大宁路540弄,大宁路570号,大宁路5......"
链家有钥匙，高清实拍，视野开阔，链家好房,6000元/月,2室 2厅,高区/26层,暂无数据,浦东 御桥,绿洲康城亲水湾（中央区）,康桥路1558弄
竹园高层，真实在租，2室1厅，人气房源,7000元/月,2室 1厅,高区/22层,暂无数据,浦东 源深,竹园高层,"张杨路1050弄,"
银都新村，简约二室，高清实拍，出行方便,3200元/月,2室 1厅,低区/6层,朝南,闵行 颛桥,银都新村(1至7区),银都路3118弄1-7区
实地看房，链家有钥匙，交通便利，上门实拍,7500元/月,2室 1厅,低区/18层,暂无数据,长宁 中山公园,长乐大厦（长宁）,定西路1310弄8号
零陵路350弄，简约二室，实地看房，生活很便利,5000元/月,2室 0厅,高区/6层,朝南,徐汇 徐家汇,零陵路350弄,零陵路350弄
天宝路410弄，1室0厅1卫，有钥匙，近地铁,5000元/月,1室 0厅,中区/7层,朝南,虹口 临平路,天宝路410弄,天宝路410弄
如您所见，南北通，有钥匙房源，交通便利,4000元/月,2室 1厅,高区/6层,朝南北,浦东 三林,凌兆新村十四村,上浦路165弄
临沂八村，高清大图，出行方便，好房待租,3100元/月,1室 0厅,高区/6层,暂无数据,浦东 南码头,临沂八村,"临沂路81弄,兰陵路23弄"
椰泰公寓，看房方便，交通方便，实地看房,9000元/月,2室 1厅,高区/15层,暂无数据,杨浦 中原,椰泰公寓,"政立路115弄,"
鞍山一村，高区阳光房，有爱有家，上门实拍,3000元/月,1室 0厅,高区/5层,朝南,杨浦 鞍山,鞍山一村,"本溪路141弄,锦西路30弄"
高清实拍，看房方便，链家房源，温馨之家,3000元/月,1室 1厅,高区/6层,朝南,宝山 张庙,呼玛二村,呼玛二村
亭汇花苑，生活很便利，舒适三室，实地看房,7000元/月,3室 2厅,中区/5层,暂无数据,松江 九亭,亭汇花苑,沪松公路1480弄
静安国际广场，人气房源，一链倾城，3房出租,15000元/月,3室 2厅,高区/30层,暂无数据,静安 江宁路,静安国际广场,新闸路1528弄
大华公寓，光线充足，好房好心情，上门实拍,5800元/月,2室 1厅,中区/9层,朝东,长宁 中山公园,大华公寓（长宁）,玉屏南路110弄20-22号
潍坊七村，高区采光好，交通方便，链家有钥匙,4800元/月,1室 1厅,高区/6层,朝南,浦东 潍坊,潍坊七村,潍坊七村
同济华城，空气清新，附近有地铁，好房待租,5500元/月,2室 1厅,中区/17层,暂无数据,闵行 古美,同济华城,漕宝路1158弄
有钥匙方便看，放心好房，附近有地铁，小户型,5500元/月,1室 1厅,中区/6层,暂无数据,黄浦 蓬莱公园,西凌新邨,"西凌家宅路27弄,西藏南路1374弄,西......"
附近有地铁，上门实勘，钥匙在店，高区采光好,3500元/月,1室 1厅,高区/6层,朝南,宝山 张庙,共和四村,共和四村1-26号
低楼层，2室1厅1卫，看房方便，上门实勘,4000元/月,2室 1厅,低区/6层,朝南,杨浦 中原,市光四村,市光四村
好房待租，附近有地铁，一室小户型，上门实拍,7600元/月,1室 1厅,低区/30层,朝西南,长宁 中山公园,绿地海怡公寓,"延安西路1155号,延安西路1181号"
甘泉三村，近地铁，钥匙房，实地看房,3600元/月,1室 1厅,高区/5层,朝南北,普陀 甘泉宜川,甘泉三村,甘泉三村
菊泉新城，链家房源，近地铁，钥匙在链家,2600元/月,2室 2厅,高区/11层,暂无数据,宝山 顾村,菊泉新城（陆翔路678弄）,陆翔路678弄
共富一村，好房待租，视野开阔，适合自住,4300元/月,2室 2厅,高区/6层,暂无数据,宝山 共富,共富一村,"共富一村,共富路99弄"
钥匙房，温馨一室，实地看房，如您所见,11500元/月,1室 0厅,低区/36层,暂无数据,长宁 中山公园,凯欣豪园,汇川路88弄
瑞苑公寓，实地看房，高清实拍，享受好房,13000元/月,1室 2厅,低区/40层,暂无数据,浦东 陆家嘴,瑞苑公寓,浦东大道3号
裕德路66弄，交通方便，实地看房，钥匙在链家,4000元/月,1室 0厅,中区/7层,朝东北,徐汇 徐家汇,裕德路66弄,裕德路66弄
链家有钥匙，南北直通，3房出租，一链倾城,6200元/月,3室 1厅,高区/6层,朝南北,闵行 古美,古美西路420弄,古美西路420弄
高欣公寓，小户型，钥匙在链家，如您所见,8000元/月,1室 1厅,低区/29层,暂无数据,徐汇 衡山路,高欣公寓,乌鲁木齐南路281号
宏润花园，好房好心情，钥匙在店，改善住房,13000元/月,3室 2厅,低区/35层,暂无数据,徐汇 万体馆,宏润花园,"漕东支路218弄（一期）,田东路258弄......"
佳龙花园，实地看房，链家有钥匙，南北直通,8000元/月,3室 2厅,中区/18层,朝南北,杨浦 黄兴公园,佳龙花园,营口路600弄
新梅花苑，高清照片，人气房源，闹中取静,5800元/月,2室 2厅,高区/6层,朝南北,闵行 古美,新梅花苑,"报春路388弄,报春路488弄"
九歌上郡，上门实勘，人气房源，附近有地铁,5800元/月,1室 1厅,中区/11层,暂无数据,闵行 静安新城,九歌上郡,宜山路2328弄
黎明花园，小户型，交通方便，好房待租,3200元/月,1室 1厅,中区/6层,暂无数据,闵行 七宝,黎明花园,七莘路2465弄30支弄
学林苑，高清大图，交通便利，有钥匙方便看,5000元/月,2室 1厅,低区/13层,朝南,宝山 上大,学林苑,聚丰园路188弄
万达城市公寓，有爱有家，人气房源，简约二室,5500元/月,2室 1厅,低区/17层,暂无数据,嘉定 江桥,万达城市公寓,鹤友路336弄
象屿名城，房型正气，看房方便，人气房源,5600元/月,3室 2厅,高区/14层,朝南北,松江 九亭,象屿名城,伴亭路888弄
简约二室，钥匙在链家，交通方便，人气房源,6200元/月,2室 1厅,低区/18层,暂无数据,杨浦 鞍山,铁岭大楼,铁岭路50弄
贝尚湾，出行方便，看房方便，高清实拍,15000元/月,4室 2厅,地上3层,(进门),松江 九亭,贝尚湾(别墅),沪亭北路338弄
人气房源，有钥匙房源，如您所见，适合自住,5600元/月,2室 0厅,高区/6层,朝南北,长宁 古北,虹南小区,中山西路1432弄
上大东村，有爱有家，人气房源，出行方便,3700元/月,1室 1厅,低区/6层,暂无数据,闸北 闸北公园,上大东村,"平型关路669弄,平型关路801弄,北宝......"
温馨一室，近地铁，人气房源，享受好房,4500元/月,1室 1厅,中区/6层,暂无数据,浦东 金桥,伟业金锦苑三村,东波路585弄
东沙小区，钥匙在店，链家房源，交通方便,5800元/月,1室 1厅,高区/22层,暂无数据,普陀 武宁,东沙小区,光复西路683弄
密云路471弄，钥匙在店，2室1厅1卫，人气房源,5000元/月,2室 1厅,中区/6层,暂无数据,虹口 曲阳,密云路471弄,密云路471弄
红旗小区，出行方便，链家有钥匙，放心好房,2800元/月,2室 1厅,高区/6层,暂无数据,闵行 老闵行,红旗小区,"景谷路135弄,华宁路191弄"
链家有钥匙，实地看房，温馨一室，附近有地铁,3700元/月,1室 1厅,中区/6层,暂无数据,虹口 曲阳,建工天峰公寓,赤峰路626弄
两室户，链家好房，人气房源，钥匙房,8200元/月,2室 1厅,低区/26层,暂无数据,长宁 镇宁路,华山花苑,"华山路1615号,华山路1635号,淮海......"
享受好房，4室2厅，交通方便，钥匙房,12000元/月,4室 2厅,低区/17层,暂无数据,杨浦 周家嘴路,华升新苑,控江路1505弄
有爱有家，小户型，实地看房，出行方便,4000元/月,1室 0厅,中区/7层,暂无数据,普陀 武宁,西谈家渡路109弄,西谈家渡路109弄
高清实拍，人气房源，有爱有家，生活很便利,4300元/月,2室 0厅,低区/24层,朝南,浦东 洋泾,雅华公寓,栖山路401弄7号
春江锦庐，钥匙在链家，光线充足，交通便利,6500元/月,2室 2厅,中区/5层,暂无数据,闵行 古美,春江锦庐,古美西路752弄
宛南华侨新村，简约二室，实地看房，放心好房,6500元/月,2室 2厅,中区/6层,朝南,徐汇 龙华,宛南华侨新村,宛南华侨新村
南北通透，实地看房，看房方便，如您所见,6300元/月,2室 2厅,低区/18层,朝南北,宝山 高境,美岸栖庭（公寓）,"何家湾路111弄,国权北路828弄,高逸......"
人气房源，有钥匙，光线非常好，精致户型,4500元/月,2室 1厅,高区/6层,暂无数据,杨浦 中原,国和二村,国和二村
由由四村，享受好房，交通方便，温馨一室,3500元/月,1室 0厅,高区/6层,暂无数据,浦东 北蔡,由由四村,"严中路269弄,严中路173弄,严中路3......"
钥匙在链家，温馨之家，人气房源，空气清新,3500元/月,1室 1厅,中区/6层,朝南,宝山 大场镇,乾溪新村,"乾溪路100弄,"
享受好房，采光棒，上门实拍，舒适三室,5000元/月,3室 0厅,高区/6层,朝南,浦东 世博,上南二村,"上南二村,"
银都新村，交通方便，1室2厅1卫，南北直通,3800元/月,1室 2厅,中区/6层,朝南北,闵行 颛桥,银都新村(8至10区),银都路3118弄8-10区
东方城市花园，简约二室，实地看房，交通便利,9500元/月,2室 2厅,低区/24层,暂无数据,浦东 塘桥,东方城市花园（二期）,东方路1881弄
凤庆小区，精致户型，生活很便利，低楼层,2500元/月,2室 1厅,低区/6层,暂无数据,闵行 老闵行,凤庆小区,"碧江路501弄,"
2室0厅，地铁沿线，好楼层，链家有钥匙,5200元/月,2室 0厅,中区/5层,暂无数据,徐汇 龙华,宛南二村,"宛南二村,中山南二路941号,中山南二路......"
生活很便利，一链倾城，实地看房，改善住房,9500元/月,3室 2厅,中区/32层,暂无数据,杨浦 周家嘴路,东外滩1号,内江路16弄
高清照片，放心好房，实地看房，交通方便,4500元/月,2室 1厅,低区/11层,暂无数据,浦东 川沙,川杨璟苑,华夏东路1799弄
九歌中庭，出行方便，人气房源，如您所见,3800元/月,1室 1厅,低区/9层,朝南,闵行 静安新城,九歌中庭,"漕宝路1467弄六区,"
交通方便，人气房源，温馨之家，一链倾城,5500元/月,1室 1厅,中区/17层,朝南,闵行 古美,中友嘉园,古美路1458弄
上下楼方便，人气房源，有钥匙方便看，2室1厅,6000元/月,2室 1厅,低区/6层,暂无数据,徐汇 徐家汇,宛平南路431弄,宛平南路431弄
辽源三村，地铁沿线，温馨之家，钥匙房,4000元/月,1室 1厅,高区/6层,暂无数据,杨浦 鞍山,辽源三村,"许昌路1487弄1-4号,辽源三村"
乐山四五村，钥匙房，享受好房，光线充足,5800元/月,2室 1厅,中区/7层,暂无数据,徐汇 徐家汇,乐山四五村,"乐山路12弄1-30号,乐山路10弄2-......"
海桐小区，低区出入方便，2室1厅1卫，人气房源,7000元/月,2室 1厅,低区/6层,暂无数据,浦东 花木,海桐小区,海桐路68弄
闹中取静，上门实拍，人气房源，生活很便利,4000元/月,1室 1厅,高区/7层,暂无数据,杨浦 周家嘴路,幸福村小区,双阳路300弄
钥匙在店，简约二室，地铁沿线，真实在租,12000元/月,2室 2厅,低区/28层,朝南,普陀 长寿路,日月星辰,长寿路181弄
毕加索小镇，一链倾城，有钥匙方便看，舒适三室,5500元/月,3室 1厅,中区/8层,暂无数据,浦东 唐镇,毕加索小镇（一期）（公寓）,春泉路45弄
地铁沿线，实地看房，采光棒，放心好房,15000元/月,1室 1厅,高区/32层,暂无数据,静安 南京西路,艾格美国际公寓,"石门一路116号,石门一路118号"
衡园，有钥匙房源，空气清新，人气房源,12000元/月,2室 2厅,中区/12层,朝南,徐汇 斜土路,衡园,肇嘉浜路201弄
桂巷新村，有钥匙方便看，温馨之家，高清照片,3500元/月,1室 0厅,高区/6层,朝南,普陀 长风,桂巷新村,桂巷新村
放心好房，简约二室，上门实勘，生活很便利,5600元/月,2室 2厅,中区/11层,朝南北,宝山 上大,经纬阳光水岸家园（一期）,纬地路88弄
钥匙在店，链家好房，高清照片，附近有地铁,4500元/月,2室 1厅,低区/6层,暂无数据,浦东 金桥,朱家门小区,"五莲路201弄,莱阳路451弄"
实地看房，两室户，钥匙在链家，南北通,11500元/月,2室 2厅,高区/9层,朝南北,长宁 仙霞,天台家园,"新渔东路455弄,茅台路900弄,新渔东......"
康乐小区，钥匙在链家，地铁沿线，1室1厅1卫,3600元/月,1室 1厅,低区/5层,朝南,徐汇 康健,康乐小区（徐汇）,"桂林东街169弄,钦州南路451弄,钦州......"
人气房源，附近有地铁，高区阳光房，链家房源,4700元/月,2室 0厅,高区/6层,暂无数据,浦东 潍坊,潍坊九村,"崂山路644弄,崂山路638弄,浦电路3......"
竹园高层，人气房源，高清大图，出行方便,6800元/月,2室 1厅,低区/22层,暂无数据,浦东 源深,竹园高层,"张杨路1050弄,"
博山小区，精致户型，人气房源，链家房源,4200元/月,2室 1厅,低区/25层,暂无数据,浦东 洋泾,博山小区,"博山路12弄,博山路50弄,博山路78弄"
高清实拍，在租四房，南北通，有钥匙,11000元/月,4室 2厅,低区/16层,朝南北,浦东 金桥,碧云新天地（二期）,博兴路760弄
锦汇苑，有钥匙方便看，采光棒，出行方便,8500元/月,2室 2厅,高区/29层,朝南,徐汇 徐家汇,锦汇苑,文定路81弄1-2号
汇豪天下，钥匙在链家，精致户型，享受好房,15000元/月,2室 2厅,低区/35层,朝南,浦东 陆家嘴,汇豪天下,商城路108弄
上门实拍，有爱有家，有钥匙房源，温馨一室,3700元/月,1室 1厅,高区/6层,暂无数据,杨浦 五角场,政立路830弄,政立路830弄
名门河滨花园，地铁沿线，实地看房，高清实拍,6500元/月,1室 2厅,低区/21层,朝南,浦东 洋泾,名门河滨花园,博山路200弄
平南三四村，1室1厅，附近有地铁，看房有钥匙,4200元/月,1室 1厅,高区/6层,暂无数据,闵行 古美,平南三四村,"平南三村,平南四村"
黎平大楼，真实在租，有钥匙方便看，光线充足,4800元/月,2室 1厅,中区/18层,暂无数据,杨浦 周家嘴路,黎平大楼,黎平路1号
空气清新，人气房源，链家好房，有钥匙,3000元/月,2室 1厅,中区/12层,暂无数据,松江 泗泾,新凯城紫竹苑,泗凯路61弄
3室2厅1卫，人气房源，有钥匙方便看，地铁沿线,6500元/月,3室 2厅,中区/18层,暂无数据,宝山 共康,新梅绿岛苑,场北路399弄
东昌新村，附近有地铁，光线非常好，看房有钥匙,4600元/月,1室 0厅,高区/6层,朝南,浦东 陆家嘴,东昌新村,东昌新村
看房方便，生活很便利，上门实拍，有爱有家,13000元/月,1室 1厅,低区/38层,朝西南,静安 静安寺,爱俪轩,镇宁路98号
零陵公寓，实地看房，享受好房，精致户型,6500元/月,2室 1厅,中区/6层,朝南,徐汇 斜土路,零陵公寓,零陵路111弄
如您所见，出行方便，好楼层，实地看房,13500元/月,2室 2厅,中区/31层,朝南,黄浦 蓬莱公园,恒升大厦,"陆家浜路1396号,陆家浜路1398号"
浦江世博家园十二街坊，如您所见，光线棒，南北通,4000元/月,2室 2厅,高区/11层,朝南北,闵行 浦江,浦江世博家园十二街坊,浦驰路235弄
古美五村，高区景观房，放心好房，实地看房,4000元/月,2室 1厅,高区/6层,朝南,闵行 古美,古美五村,顾戴路35弄
碧云新天地，上门实拍，实地看房，有爱有家,12000元/月,4室 2厅,中区/16层,朝南,浦东 金桥,碧云新天地（二期）,博兴路760弄
沙田公寓，南北通，空气清新，链家好房,3800元/月,2室 1厅,中区/6层,朝南北,浦东 川沙,沙田公寓,华夏东路1152弄
上海绿城，好房好心情，附近有地铁，好楼层,9000元/月,1室 2厅,中区/22层,暂无数据,浦东 杨东,上海绿城,锦和路99弄
光线充足，有钥匙方便看，如您所见，人气房源,14000元/月,2室 2厅,中区/17层,暂无数据,闵行 金虹桥,名都城（公寓）,虹许路788号
闹中取静，地铁沿线，南北通透，一链倾城,4300元/月,4室 2厅,高区/6层,朝南北,嘉定 江桥,金霞苑,鹤霞路111弄
高清实拍，钥匙在链家，温馨之家，链家好房,2800元/月,1室 1厅,中区/16层,朝北,浦东 金桥,丽江锦庭,浦东大道3040弄
公安大楼，一链倾城，温馨之家，钥匙在店,6500元/月,1室 0厅,中区/28层,朝南,徐汇 衡山路,公安大楼（徐汇）,吴兴路270弄
公园3000黄兴花园，链家房源，光线充足，舒适三室,7500元/月,3室 1厅,中区/11层,朝南北,杨浦 黄兴公园,公园3000黄兴花园,"双阳北路288弄,"
实地看房，钥匙在店，温馨之家，高清照片,4000元/月,1室 1厅,中区/5层,暂无数据,虹口 鲁迅公园,欧四小区,"祥德路264弄,祥德路274弄"
佳安公寓，简约二室，近地铁，链家好房,8500元/月,2室 2厅,中区/6层,朝南,徐汇 徐家汇,佳安公寓,宛平南路420弄1-14号
红庄小区，好房好心情，人气房源，钥匙在店,8700元/月,2室 1厅,低区/18层,暂无数据,长宁 新华路,红庄小区,法华镇路20弄
新湖明珠城，钥匙房，小户型，空气清新,8000元/月,1室 2厅,中区/32层,朝南,普陀 武宁,新湖明珠城,"东新路88弄（一、二期）,东新路99弄（......"
平江盛世家园，钥匙房，低楼层，近地铁,5560元/月,2室 1厅,低区/7层,暂无数据,普陀 甘泉宜川,平江盛世家园,"交通西路108弄,交通西路188弄"
真实在租，交通便利，闹中取静，人气房源,3300元/月,1室 1厅,高区/6层,暂无数据,徐汇 华东理工,化工二三村,"梅陇路300号,化工三村,化工二村"
生活很便利，南北通透，人气房源，有钥匙,17000元/月,3室 2厅,中区/30层,朝南北,普陀 武宁,新湖明珠城,"东新路88弄（一、二期）,东新路99弄（......"
复旦小区，高清大图，低楼层，近地铁,4300元/月,2室 1厅,低区/6层,朝南,虹口 凉城,复旦小区,"水电路1324弄2支弄,"
上门实拍，温馨一室，实地看房，有爱有家,3600元/月,1室 0厅,高区/6层,朝南,徐汇 植物园,东泉小区,"东泉路50弄,东泉路51弄,东泉路64弄......"
葑润华庭，南北通，低楼层，有钥匙房源,4800元/月,3室 1厅,低区/6层,朝南北,宝山 上大,葑润华庭,"祁华路58弄,祁华路59弄,祁华路218......"
万源新城，3室2厅，上下楼方便，生活很便利,10800元/月,3室 2厅,低区/6层,朝南,闵行 金虹桥,万源新城,"万源路2289弄（一至三期）,环镇南路2......"
精致户型，实地看房，真实在租，有钥匙房源,4800元/月,2室 1厅,低区/6层,朝南,徐汇 斜土路,茶陵小区,"茶陵路75弄1-20号,茶陵路105弄1......"
广厦公寓，人气房源，高清大图，看房有钥匙,8500元/月,2室 2厅,中区/29层,暂无数据,徐汇 田林,广厦公寓,钦州北路475号
江南星城，人气房源，地铁沿线，采光棒,6000元/月,2室 2厅,高区/6层,暂无数据,闵行 古美,江南星城,"顾戴路1199弄（一期）,顾戴路1325......"
交通方便，精致户型，实地看房，放心好房,3800元/月,2室 2厅,中区/5层,朝南,浦东 金桥,沪东新村,"五莲路108弄,五莲路400弄,沪东新村"
南北户型，享受好房，2室1厅1卫，钥匙房,4500元/月,2室 1厅,中区/6层,朝南北,虹口 江湾镇,丰镇路16弄,丰镇路16弄
爱建大厦，生活很便利，高清实拍，人气房源,8600元/月,3室 1厅,中区/17层,朝南,徐汇 徐家汇,爱建大厦,宛平南路590弄1-2号
好房待租，2室1厅，钥匙在店，实地看房,5000元/月,2室 1厅,高区/6层,暂无数据,浦东 世博,上南八村,"洪山路237弄,上南八村,上南八村"
1室1厅1卫，高清大图，链家房源，出行方便,2700元/月,1室 1厅,高区/6层,朝南,宝山 张庙,呼玛三村,呼玛三村
链家房源，温馨一室，高区景观好，高清大图,4000元/月,1室 0厅,高区/7层,暂无数据,虹口 鲁迅公园,何家宅小区,"水电路191弄,"
